[5:57:59 AM] Friday, February 28, 2020
[5:57:59 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[5:57:59 AM] Process Kill Interval: 250ms
[5:57:59 AM] Loading Complete!
[5:57:59 AM] SystemSettings.exe killed!
[5:57:59 AM] WmiPrvSE.exe killed!
[5:57:59 AM] SearchUI.exe killed!
[5:58:00 AM] SearchIndexer.exe killed!
[5:58:00 AM] ctfmon.exe killed!
[5:58:00 AM] Microsoft.Photos.exe killed!
[5:58:00 AM] ctfmon.exe killed!
[5:58:00 AM] sppsvc.exe killed!
[5:58:00 AM] WmiPrvSE.exe killed!
[5:58:02 AM] SearchUI.exe killed!
[5:58:02 AM] WmiPrvSE.exe killed!
[5:58:02 AM] WmiPrvSE.exe killed!
[5:58:03 AM] SearchIndexer.exe killed!
[5:58:05 AM] ctfmon.exe killed!
[5:58:05 AM] WmiPrvSE.exe killed!
[5:58:06 AM] WmiPrvSE.exe killed!
[5:58:06 AM] SearchUI.exe killed!
[5:58:06 AM] WmiPrvSE.exe killed!
[5:58:06 AM] WmiPrvSE.exe killed!
[5:58:08 AM] SearchUI.exe killed!
[5:58:10 AM] WmiPrvSE.exe killed!
[5:58:10 AM] ctfmon.exe killed!
[5:58:10 AM] SearchUI.exe killed!
[5:58:13 AM] SearchUI.exe killed!
[5:58:15 AM] ctfmon.exe killed!
[5:58:20 AM] ctfmon.exe killed!
[5:58:25 AM] ctfmon.exe killed!
[5:58:30 AM] ctfmon.exe killed!
[5:58:35 AM] ctfmon.exe killed!
[5:58:40 AM] ctfmon.exe killed!
[5:58:40 AM] WmiPrvSE.exe killed!
[5:58:43 AM] WmiPrvSE.exe killed!
[5:58:43 AM] WmiPrvSE.exe killed!
[5:58:44 AM] WmiPrvSE.exe killed!
[5:58:44 AM] WmiPrvSE.exe killed!
[5:58:45 AM] ctfmon.exe killed!
[5:58:48 AM] WmiPrvSE.exe killed!
[5:58:50 AM] ctfmon.exe killed!
[5:58:52 AM] WmiPrvSE.exe killed!
[5:58:55 AM] ctfmon.exe killed!
[5:58:56 AM] WmiPrvSE.exe killed!
[5:59:00 AM] ctfmon.exe killed!
[5:59:00 AM] WmiPrvSE.exe killed!
[5:59:00 AM] WmiPrvSE.exe killed!
[5:59:04 AM] WmiPrvSE.exe killed!
[5:59:05 AM] ctfmon.exe killed!
[5:59:08 AM] Closing! Saving log...
