[4:52:23 PM] Monday, April 20, 2020
[4:52:23 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[4:52:23 PM] Process Kill Interval: 250ms
[4:52:23 PM] Loading Complete!
[4:52:23 PM] WmiPrvSE.exe killed!
[4:52:23 PM] KMS Server Service.exe killed!
[4:52:23 PM] ctfmon.exe killed!
[4:52:23 PM] SearchUI.exe killed!
[4:52:23 PM] SystemSettings.exe killed!
[4:52:23 PM] SearchIndexer.exe killed!
[4:52:23 PM] Failed to end task: SearchUI.exe
[4:52:23 PM] ctfmon.exe killed!
[4:52:25 PM] WmiPrvSE.exe killed!
[4:52:25 PM] SearchUI.exe killed!
[4:52:25 PM] backgroundTaskHost.exe killed!
[4:52:25 PM] backgroundTaskHost.exe killed!
[4:52:28 PM] WmiPrvSE.exe killed!
[4:52:28 PM] ctfmon.exe killed!
[4:52:29 PM] SearchUI.exe killed!
[4:52:33 PM] ctfmon.exe killed!
[4:52:33 PM] SearchUI.exe killed!
[4:52:35 PM] ZeroConfigService.exe killed!
[4:52:38 PM] SearchUI.exe killed!
[4:52:38 PM] WmiPrvSE.exe killed!
[4:52:38 PM] ctfmon.exe killed!
[4:52:40 PM] SearchUI.exe killed!
[4:52:43 PM] ctfmon.exe killed!
[4:52:47 PM] WmiPrvSE.exe killed!
[4:52:48 PM] ctfmon.exe killed!
[4:52:53 PM] ctfmon.exe killed!
[4:52:53 PM] SearchIndexer.exe killed!
[4:52:58 PM] ctfmon.exe killed!
[4:53:00 PM] WmiPrvSE.exe killed!
[4:53:03 PM] ctfmon.exe killed!
[4:53:08 PM] ctfmon.exe killed!
[4:53:13 PM] ctfmon.exe killed!
[4:53:18 PM] ctfmon.exe killed!
[4:53:23 PM] SearchIndexer.exe killed!
[4:53:23 PM] ctfmon.exe killed!
[4:53:28 PM] ctfmon.exe killed!
[4:53:30 PM] WmiPrvSE.exe killed!
[4:53:33 PM] ctfmon.exe killed!
[4:53:38 PM] ctfmon.exe killed!
[4:53:39 PM] WmiPrvSE.exe killed!
[4:53:42 PM] WmiPrvSE.exe killed!
[4:53:43 PM] ctfmon.exe killed!
[4:53:45 PM] WmiPrvSE.exe killed!
[4:53:45 PM] WmiPrvSE.exe killed!
[4:53:47 PM] SearchIndexer.exe killed!
[4:53:48 PM] ctfmon.exe killed!
[4:53:48 PM] WmiPrvSE.exe killed!
[4:53:50 PM] SearchIndexer.exe killed!
[4:53:51 PM] WmiPrvSE.exe killed!
[4:53:53 PM] ctfmon.exe killed!
[4:53:58 PM] ctfmon.exe killed!
[4:54:03 PM] ctfmon.exe killed!
[4:54:08 PM] ctfmon.exe killed!
[4:54:13 PM] ctfmon.exe killed!
[4:54:18 PM] ctfmon.exe killed!
[4:54:21 PM] SearchIndexer.exe killed!
[4:54:22 PM] WmiPrvSE.exe killed!
[4:54:23 PM] ctfmon.exe killed!
[4:54:28 PM] ctfmon.exe killed!
[4:54:33 PM] ctfmon.exe killed!
[4:54:38 PM] ctfmon.exe killed!
[4:54:43 PM] ctfmon.exe killed!
[4:54:48 PM] ctfmon.exe killed!
[4:54:51 PM] SearchIndexer.exe killed!
[4:54:53 PM] ctfmon.exe killed!
[4:54:58 PM] ctfmon.exe killed!
[4:55:00 PM] WmiPrvSE.exe killed!
[4:55:00 PM] WmiPrvSE.exe killed!
[4:55:00 PM] sppsvc.exe killed!
[4:55:03 PM] ctfmon.exe killed!
[4:55:08 PM] ctfmon.exe killed!
[4:55:13 PM] ctfmon.exe killed!
[4:55:18 PM] ctfmon.exe killed!
[4:55:23 PM] ctfmon.exe killed!
[4:55:28 PM] ctfmon.exe killed!
[4:55:33 PM] ctfmon.exe killed!
[4:55:38 PM] ctfmon.exe killed!
[4:55:43 PM] ctfmon.exe killed!
[4:55:48 PM] ctfmon.exe killed!
[4:55:53 PM] ctfmon.exe killed!
[4:55:58 PM] ctfmon.exe killed!
[4:56:00 PM] sppsvc.exe killed!
[4:56:00 PM] WmiPrvSE.exe killed!
[4:56:00 PM] WmiPrvSE.exe killed!
[4:56:03 PM] ctfmon.exe killed!
[4:56:08 PM] ctfmon.exe killed!
[4:56:13 PM] ctfmon.exe killed!
[4:56:18 PM] ctfmon.exe killed!
[4:56:23 PM] ctfmon.exe killed!
[4:56:28 PM] ctfmon.exe killed!
[4:56:33 PM] ctfmon.exe killed!
[4:56:38 PM] ctfmon.exe killed!
[4:56:43 PM] ctfmon.exe killed!
[4:56:48 PM] ctfmon.exe killed!
[4:56:53 PM] ctfmon.exe killed!
[4:56:58 PM] ctfmon.exe killed!
[4:57:00 PM] WmiPrvSE.exe killed!
[4:57:00 PM] WmiPrvSE.exe killed!
[4:57:03 PM] ctfmon.exe killed!
[4:57:08 PM] ctfmon.exe killed!
[4:57:10 PM] backgroundTaskHost.exe killed!
[4:57:13 PM] ctfmon.exe killed!
[4:57:18 PM] ctfmon.exe killed!
[4:57:23 PM] ctfmon.exe killed!
[4:57:28 PM] ctfmon.exe killed!
[4:57:33 PM] ctfmon.exe killed!
[4:57:38 PM] ctfmon.exe killed!
[4:57:44 PM] ctfmon.exe killed!
[4:57:49 PM] ctfmon.exe killed!
[4:57:54 PM] ctfmon.exe killed!
[4:57:59 PM] ctfmon.exe killed!
[4:58:00 PM] WmiPrvSE.exe killed!
[4:58:04 PM] ctfmon.exe killed!
[4:58:09 PM] ctfmon.exe killed!
[4:58:14 PM] ctfmon.exe killed!
[4:58:19 PM] ctfmon.exe killed!
[4:58:24 PM] ctfmon.exe killed!
[4:58:29 PM] ctfmon.exe killed!
[4:58:34 PM] ctfmon.exe killed!
[4:58:39 PM] ctfmon.exe killed!
[4:58:44 PM] ctfmon.exe killed!
[4:58:49 PM] ctfmon.exe killed!
[4:58:54 PM] ctfmon.exe killed!
[4:58:59 PM] ctfmon.exe killed!
[4:59:00 PM] WmiPrvSE.exe killed!
[4:59:04 PM] ctfmon.exe killed!
[4:59:09 PM] ctfmon.exe killed!
[4:59:14 PM] ctfmon.exe killed!
[4:59:19 PM] ctfmon.exe killed!
[4:59:24 PM] ctfmon.exe killed!
[4:59:29 PM] ctfmon.exe killed!
[4:59:34 PM] ctfmon.exe killed!
[4:59:39 PM] ctfmon.exe killed!
[4:59:44 PM] ctfmon.exe killed!
[4:59:49 PM] ctfmon.exe killed!
[4:59:54 PM] ctfmon.exe killed!
[4:59:59 PM] ctfmon.exe killed!
[5:00:00 PM] WmiPrvSE.exe killed!
[5:00:04 PM] ctfmon.exe killed!
[5:00:09 PM] ctfmon.exe killed!
[5:00:14 PM] ctfmon.exe killed!
[5:00:19 PM] ctfmon.exe killed!
[5:00:24 PM] ctfmon.exe killed!
[5:00:29 PM] ctfmon.exe killed!
[5:00:34 PM] ctfmon.exe killed!
