[7:03:17 PM] Monday, February 24, 2020
[7:03:17 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[7:03:17 PM] Process Kill Interval: 250ms
[7:03:17 PM] Loading Complete!
[7:03:17 PM] Hiding to tray...
[7:03:18 PM] SearchUI.exe killed!
[7:03:18 PM] SystemSettings.exe killed!
[7:03:18 PM] ctfmon.exe killed!
[7:03:18 PM] SearchFilterHost.exe killed!
[7:03:18 PM] YourPhone.exe killed!
[7:03:18 PM] Microsoft.Photos.exe killed!
[7:03:18 PM] SettingSyncHost.exe killed!
[7:03:18 PM] SearchIndexer.exe killed!
[7:03:18 PM] WmiPrvSE.exe killed!
[7:03:18 PM] ctfmon.exe killed!
[7:03:18 PM] SettingSyncHost.exe killed!
[7:03:20 PM] SearchUI.exe killed!
[7:03:22 PM] SearchUI.exe killed!
[7:03:23 PM] ctfmon.exe killed!
[7:03:23 PM] SearchIndexer.exe killed!
[7:03:24 PM] SearchUI.exe killed!
[7:03:25 PM] WmiPrvSE.exe killed!
[7:03:27 PM] WmiPrvSE.exe killed!
[7:03:28 PM] ctfmon.exe killed!
[7:03:29 PM] SearchUI.exe killed!
[7:03:31 PM] SearchUI.exe killed!
[7:03:33 PM] ctfmon.exe killed!
[7:03:38 PM] ctfmon.exe killed!
[7:03:43 PM] ctfmon.exe killed!
[7:03:43 PM] sppsvc.exe killed!
[7:03:48 PM] SearchIndexer.exe killed!
[7:03:48 PM] ctfmon.exe killed!
[7:03:48 PM] SearchIndexer.exe killed!
[7:03:48 PM] SearchIndexer.exe killed!
[7:03:49 PM] SearchIndexer.exe killed!
[7:03:49 PM] SearchIndexer.exe killed!
[7:03:49 PM] SearchIndexer.exe killed!
[7:03:51 PM] SearchIndexer.exe killed!
[7:03:51 PM] SearchIndexer.exe killed!
[7:03:51 PM] SearchIndexer.exe killed!
[7:03:51 PM] SearchIndexer.exe killed!
[7:03:52 PM] SearchIndexer.exe killed!
[7:03:52 PM] SearchIndexer.exe killed!
[7:03:52 PM] SearchIndexer.exe killed!
[7:03:52 PM] SearchIndexer.exe killed!
[7:03:53 PM] SearchIndexer.exe killed!
[7:03:53 PM] ctfmon.exe killed!
[7:03:53 PM] SearchIndexer.exe killed!
[7:03:53 PM] SearchIndexer.exe killed!
[7:03:53 PM] SearchIndexer.exe killed!
[7:03:54 PM] SearchIndexer.exe killed!
[7:03:54 PM] SearchIndexer.exe killed!
[7:03:54 PM] SearchIndexer.exe killed!
[7:03:54 PM] SearchIndexer.exe killed!
[7:03:55 PM] SearchIndexer.exe killed!
[7:03:55 PM] SearchIndexer.exe killed!
[7:03:55 PM] WmiPrvSE.exe killed!
[7:03:55 PM] SearchIndexer.exe killed!
[7:03:55 PM] WmiPrvSE.exe killed!
[7:03:56 PM] WmiPrvSE.exe killed!
[7:03:56 PM] WmiPrvSE.exe killed!
