[6:45:11 PM] Saturday, February 15, 2020
[6:45:11 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[6:45:11 PM] Process Kill Interval: 250ms
[6:45:11 PM] Loading Complete!
[6:45:11 PM] Hiding to tray...
[6:45:11 PM] WmiPrvSE.exe killed!
[6:45:11 PM] SettingSyncHost.exe killed!
[6:45:11 PM] SearchFilterHost.exe killed!
[6:45:11 PM] SearchUI.exe killed!
[6:45:11 PM] sppsvc.exe killed!
[6:45:11 PM] SearchIndexer.exe killed!
[6:45:11 PM] ctfmon.exe killed!
[6:45:11 PM] ctfmon.exe killed!
[6:45:13 PM] WmiPrvSE.exe killed!
[6:45:13 PM] WmiPrvSE.exe killed!
[6:45:13 PM] SearchUI.exe killed!
[6:45:16 PM] ctfmon.exe killed!
[6:45:16 PM] WmiPrvSE.exe killed!
[6:45:17 PM] SearchUI.exe killed!
[6:45:19 PM] WmiPrvSE.exe killed!
[6:45:20 PM] SearchUI.exe killed!
[6:45:21 PM] ctfmon.exe killed!
[6:45:22 PM] SearchUI.exe killed!
[6:45:24 PM] SearchUI.exe killed!
[6:45:26 PM] SearchIndexer.exe killed!
[6:45:26 PM] ctfmon.exe killed!
[6:45:31 PM] SearchIndexer.exe killed!
[6:45:31 PM] ctfmon.exe killed!
[6:45:36 PM] ctfmon.exe killed!
[6:45:41 PM] ctfmon.exe killed!
[6:45:44 PM] SearchIndexer.exe killed!
[6:45:44 PM] SearchIndexer.exe killed!
[6:45:46 PM] ctfmon.exe killed!
[6:45:49 PM] WmiPrvSE.exe killed!
[6:45:51 PM] ctfmon.exe killed!
[6:45:56 PM] ctfmon.exe killed!
[6:45:58 PM] WmiPrvSE.exe killed!
[6:46:01 PM] ctfmon.exe killed!
[6:46:06 PM] ctfmon.exe killed!
[6:46:11 PM] ctfmon.exe killed!
[6:46:16 PM] ctfmon.exe killed!
[6:46:21 PM] ctfmon.exe killed!
[6:46:26 PM] ctfmon.exe killed!
[6:46:28 PM] WmiPrvSE.exe killed!
[6:46:31 PM] ctfmon.exe killed!
[6:46:36 PM] ctfmon.exe killed!
[6:46:41 PM] ctfmon.exe killed!
[6:46:46 PM] ctfmon.exe killed!
[6:46:51 PM] ctfmon.exe killed!
[6:46:56 PM] ctfmon.exe killed!
[6:47:00 PM] WmiPrvSE.exe killed!
