[12:57:51 PM] Sunday, February 16, 2020
[12:57:51 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[12:57:51 PM] Process Kill Interval: 250ms
[12:57:51 PM] Loading Complete!
[12:57:51 PM] SearchIndexer.exe killed!
[12:57:51 PM] WmiPrvSE.exe killed!
[12:57:51 PM] ctfmon.exe killed!
[12:57:51 PM] SearchIndexer.exe killed!
[12:57:51 PM] ctfmon.exe killed!
[12:57:51 PM] SearchIndexer.exe killed!
[12:57:52 PM] SearchIndexer.exe killed!
[12:57:52 PM] SearchIndexer.exe killed!
[12:57:52 PM] SearchIndexer.exe killed!
[12:57:52 PM] SearchIndexer.exe killed!
[12:57:53 PM] WmiPrvSE.exe killed!
[12:57:56 PM] ctfmon.exe killed!
[12:58:01 PM] SearchIndexer.exe killed!
[12:58:01 PM] WmiPrvSE.exe killed!
[12:58:01 PM] SearchIndexer.exe killed!
[12:58:01 PM] ctfmon.exe killed!
[12:58:01 PM] SearchIndexer.exe killed!
[12:58:01 PM] SearchIndexer.exe killed!
[12:58:02 PM] SearchIndexer.exe killed!
[12:58:02 PM] WmiPrvSE.exe killed!
[12:58:02 PM] SearchIndexer.exe killed!
[12:58:02 PM] SearchIndexer.exe killed!
[12:58:02 PM] SearchIndexer.exe killed!
[12:58:03 PM] WmiPrvSE.exe killed!
[12:58:03 PM] SearchIndexer.exe killed!
[12:58:03 PM] SearchIndexer.exe killed!
[12:58:03 PM] SearchIndexer.exe killed!
[12:58:03 PM] SearchIndexer.exe killed!
[12:58:04 PM] SearchIndexer.exe killed!
[12:58:04 PM] SearchIndexer.exe killed!
[12:58:06 PM] WmiPrvSE.exe killed!
[12:58:06 PM] ctfmon.exe killed!
[12:58:11 PM] ctfmon.exe killed!
[12:58:16 PM] ctfmon.exe killed!
[12:58:21 PM] ctfmon.exe killed!
[12:58:26 PM] ctfmon.exe killed!
[12:58:31 PM] ctfmon.exe killed!
[12:58:36 PM] WmiPrvSE.exe killed!
[12:58:36 PM] ctfmon.exe killed!
[12:58:39 PM] WmiPrvSE.exe killed!
[12:58:41 PM] ctfmon.exe killed!
[12:58:44 PM] WmiPrvSE.exe killed!
[12:58:46 PM] ctfmon.exe killed!
[12:58:48 PM] WmiPrvSE.exe killed!
[12:58:51 PM] ctfmon.exe killed!
[12:58:54 PM] WmiPrvSE.exe killed!
[12:58:56 PM] ctfmon.exe killed!
[12:59:01 PM] ctfmon.exe killed!
[12:59:06 PM] ctfmon.exe killed!
[12:59:09 PM] SearchIndexer.exe killed!
[12:59:09 PM] SearchIndexer.exe killed!
[12:59:10 PM] SearchIndexer.exe killed!
[12:59:10 PM] SearchIndexer.exe killed!
[12:59:10 PM] SearchIndexer.exe killed!
[12:59:10 PM] SearchIndexer.exe killed!
[12:59:11 PM] SearchIndexer.exe killed!
[12:59:12 PM] Log Hidden!
[12:59:12 PM] ctfmon.exe killed!
[12:59:12 PM] SearchIndexer.exe killed!
[12:59:12 PM] SearchIndexer.exe killed!
[12:59:12 PM] SearchIndexer.exe killed!
[12:59:12 PM] SearchIndexer.exe killed!
[12:59:13 PM] Log Revealed!
[12:59:13 PM] SearchIndexer.exe killed!
[12:59:13 PM] SearchIndexer.exe killed!
[12:59:13 PM] SearchIndexer.exe killed!
[12:59:14 PM] SearchIndexer.exe killed!
[12:59:14 PM] SearchIndexer.exe killed!
[12:59:14 PM] SearchIndexer.exe killed!
[12:59:15 PM] SearchIndexer.exe killed!
[12:59:15 PM] SearchIndexer.exe killed!
[12:59:15 PM] SearchIndexer.exe killed!
[12:59:15 PM] SearchIndexer.exe killed!
[12:59:16 PM] ctfmon.exe killed!
[12:59:21 PM] ctfmon.exe killed!
[12:59:24 PM] WmiPrvSE.exe killed!
[12:59:26 PM] ctfmon.exe killed!
[12:59:27 PM] WmiPrvSE.exe killed!
[12:59:31 PM] ctfmon.exe killed!
[12:59:36 PM] ctfmon.exe killed!
[12:59:41 PM] ctfmon.exe killed!
[12:59:46 PM] ctfmon.exe killed!
[12:59:51 PM] ctfmon.exe killed!
[12:59:56 PM] ctfmon.exe killed!
[12:59:57 PM] WmiPrvSE.exe killed!
[1:00:01 PM] WmiPrvSE.exe killed!
[1:00:01 PM] sppsvc.exe killed!
[1:00:01 PM] ctfmon.exe killed!
[1:00:06 PM] ctfmon.exe killed!
[1:00:11 PM] ctfmon.exe killed!
[1:00:16 PM] ctfmon.exe killed!
[1:00:21 PM] ctfmon.exe killed!
[1:00:26 PM] ctfmon.exe killed!
[1:00:31 PM] ctfmon.exe killed!
[1:00:36 PM] ctfmon.exe killed!
[1:00:41 PM] ctfmon.exe killed!
[1:00:46 PM] ctfmon.exe killed!
[1:00:51 PM] ctfmon.exe killed!
[1:00:56 PM] ctfmon.exe killed!
[1:01:01 PM] WmiPrvSE.exe killed!
[1:01:01 PM] sppsvc.exe killed!
[1:01:01 PM] ctfmon.exe killed!
[1:01:06 PM] ctfmon.exe killed!
[1:01:10 PM] SearchIndexer.exe killed!
[1:01:10 PM] SearchIndexer.exe killed!
[1:01:11 PM] SearchIndexer.exe killed!
[1:01:11 PM] SearchIndexer.exe killed!
[1:01:11 PM] SearchIndexer.exe killed!
[1:01:11 PM] ctfmon.exe killed!
