[8:25:10 AM] Sunday, January 5, 2020
[8:25:10 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[8:25:10 AM] Process Kill Interval: 250ms
[8:25:10 AM] Loading Complete!
[8:25:10 AM] SearchFilterHost.exe killed!
[8:25:10 AM] ctfmon.exe killed!
[8:25:10 AM] sppsvc.exe killed!
[8:25:10 AM] WmiPrvSE.exe killed!
[8:25:10 AM] SearchIndexer.exe killed!
[8:25:11 AM] ctfmon.exe killed!
[8:25:11 AM] WmiPrvSE.exe killed!
[8:25:12 AM] WmiPrvSE.exe killed!
[8:25:14 AM] Log Hidden!
[8:25:15 AM] WmiPrvSE.exe killed!
[8:25:15 AM] Log Revealed!
[8:25:15 AM] WmiPrvSE.exe killed!
[8:25:16 AM] WmiPrvSE.exe killed!
[8:25:16 AM] ctfmon.exe killed!
[8:25:17 AM] Log Hidden!
[8:25:19 AM] WmiPrvSE.exe killed!
[8:25:19 AM] WmiPrvSE.exe killed!
[8:25:19 AM] SearchIndexer.exe killed!
[8:25:19 AM] WmiPrvSE.exe killed!
[8:25:21 AM] ctfmon.exe killed!
[8:25:21 AM] WmiPrvSE.exe killed!
[8:25:22 AM] WmiPrvSE.exe killed!
[8:25:24 AM] SearchIndexer.exe killed!
[8:25:26 AM] ctfmon.exe killed!
[8:25:31 AM] ctfmon.exe killed!
[8:25:36 AM] ctfmon.exe killed!
[8:25:41 AM] ctfmon.exe killed!
[8:25:46 AM] ctfmon.exe killed!
[8:25:51 AM] ctfmon.exe killed!
[8:25:52 AM] WmiPrvSE.exe killed!
[8:25:52 AM] WmiPrvSE.exe killed!
[8:25:55 AM] WmiPrvSE.exe killed!
[8:25:56 AM] ctfmon.exe killed!
[8:25:58 AM] WmiPrvSE.exe killed!
[8:26:01 AM] ctfmon.exe killed!
[8:26:06 AM] ctfmon.exe killed!
[8:26:11 AM] ctfmon.exe killed!
[8:26:16 AM] ctfmon.exe killed!
[8:26:21 AM] ctfmon.exe killed!
[8:26:26 AM] ctfmon.exe killed!
[8:26:28 AM] WmiPrvSE.exe killed!
[8:26:31 AM] ctfmon.exe killed!
[8:26:32 AM] WmiPrvSE.exe killed!
[8:26:32 AM] WmiPrvSE.exe killed!
