[4:52:21 PM] Friday, May 8, 2020
[4:52:21 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[4:52:21 PM] Process Kill Interval: 250ms
[4:52:21 PM] Loading Complete!
[4:52:22 PM] ctfmon.exe killed!
[4:52:22 PM] WmiPrvSE.exe killed!
[4:52:22 PM] KMS Server Service.exe killed!
[4:52:22 PM] WmiPrvSE.exe killed!
[4:52:22 PM] LogiRegistryService.exe killed!
[4:52:22 PM] SearchIndexer.exe killed!
[4:52:22 PM] SearchUI.exe killed!
[4:52:22 PM] YourPhone.exe killed!
[4:52:22 PM] Failed to end task: WmiPrvSE.exe
[4:52:22 PM] ctfmon.exe killed!
[4:52:22 PM] Failed to end task: SearchIndexer.exe
[4:52:22 PM] Failed to end task: SearchUI.exe
[4:52:24 PM] SearchUI.exe killed!
[4:52:24 PM] WmiPrvSE.exe killed!
[4:52:25 PM] Failed to end task: SearchUI.exe
[4:52:27 PM] WmiPrvSE.exe killed!
[4:52:27 PM] ctfmon.exe killed!
[4:52:27 PM] WmiPrvSE.exe killed!
[4:52:28 PM] WmiPrvSE.exe killed!
[4:52:29 PM] SearchUI.exe killed!
[4:52:31 PM] SearchUI.exe killed!
[4:52:31 PM] Failed to end task: SearchUI.exe
[4:52:32 PM] ctfmon.exe killed!
[4:52:33 PM] WmiPrvSE.exe killed!
[4:52:33 PM] WmiPrvSE.exe killed!
[4:52:34 PM] SearchUI.exe killed!
[4:52:36 PM] SearchUI.exe killed!
[4:52:36 PM] SearchIndexer.exe killed!
[4:52:37 PM] ctfmon.exe killed!
[4:52:42 PM] ctfmon.exe killed!
[4:52:43 PM] WmiPrvSE.exe killed!
[4:52:47 PM] ctfmon.exe killed!
[4:52:48 PM] WmiPrvSE.exe killed!
[4:52:52 PM] SearchIndexer.exe killed!
[4:52:52 PM] ctfmon.exe killed!
[4:52:52 PM] SearchIndexer.exe killed!
[4:52:57 PM] WmiPrvSE.exe killed!
[4:52:57 PM] ctfmon.exe killed!
[4:53:00 PM] WmiPrvSE.exe killed!
[4:53:00 PM] sppsvc.exe killed!
[4:53:02 PM] ctfmon.exe killed!
[4:53:06 PM] SearchIndexer.exe killed!
[4:53:07 PM] ctfmon.exe killed!
[4:53:12 PM] ctfmon.exe killed!
[4:53:17 PM] ctfmon.exe killed!
[4:53:22 PM] ctfmon.exe killed!
[4:53:22 PM] WmiPrvSE.exe killed!
[4:53:22 PM] SearchIndexer.exe killed!
[4:53:27 PM] ctfmon.exe killed!
[4:53:32 PM] ctfmon.exe killed!
[4:53:36 PM] WmiPrvSE.exe killed!
[4:53:36 PM] SearchIndexer.exe killed!
[4:53:37 PM] ctfmon.exe killed!
[4:53:40 PM] WmiPrvSE.exe killed!
[4:53:42 PM] ctfmon.exe killed!
[4:53:43 PM] WmiPrvSE.exe killed!
[4:53:46 PM] WmiPrvSE.exe killed!
[4:53:46 PM] WmiPrvSE.exe killed!
[4:53:47 PM] ctfmon.exe killed!
[4:53:49 PM] WmiPrvSE.exe killed!
