[4:51:05 PM] Thursday, February 20, 2020
[4:51:05 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[4:51:05 PM] Process Kill Interval: 250ms
[4:51:05 PM] Loading Complete!
[4:51:06 PM] sppsvc.exe killed!
[4:51:06 PM] KMS Server Service.exe killed!
[4:51:06 PM] LogiRegistryService.exe killed!
[4:51:06 PM] SearchUI.exe killed!
[4:51:06 PM] WmiPrvSE.exe killed!
[4:51:06 PM] ZeroConfigService.exe killed!
[4:51:06 PM] WmiPrvSE.exe killed!
[4:51:06 PM] ctfmon.exe killed!
[4:51:06 PM] SettingSyncHost.exe killed!
[4:51:06 PM] YourPhone.exe killed!
[4:51:06 PM] SearchIndexer.exe killed!
[4:51:06 PM] Hiding to tray...
[4:51:06 PM] ctfmon.exe killed!
[4:51:06 PM] Failed to end task: SearchUI.exe
[4:51:06 PM] WmiPrvSE.exe killed!
[4:51:08 PM] WmiPrvSE.exe killed!
[4:51:08 PM] SearchUI.exe killed!
[4:51:10 PM] SearchUI.exe killed!
[4:51:11 PM] Failed to end task: SearchUI.exe
[4:51:11 PM] ctfmon.exe killed!
[4:51:11 PM] WmiPrvSE.exe killed!
[4:51:13 PM] SearchUI.exe killed!
[4:51:14 PM] WmiPrvSE.exe killed!
[4:51:15 PM] SearchUI.exe killed!
[4:51:16 PM] ctfmon.exe killed!
[4:51:17 PM] WmiPrvSE.exe killed!
[4:51:21 PM] ctfmon.exe killed!
[4:51:21 PM] WmiPrvSE.exe killed!
[4:51:22 PM] WmiPrvSE.exe killed!
[4:51:26 PM] SearchIndexer.exe killed!
[4:51:26 PM] ctfmon.exe killed!
[4:51:26 PM] WmiPrvSE.exe killed!
[4:51:31 PM] ctfmon.exe killed!
[4:51:32 PM] SearchIndexer.exe killed!
[4:51:32 PM] SearchIndexer.exe killed!
[4:51:32 PM] Failed to end task: SearchIndexer.exe
[4:51:33 PM] SearchIndexer.exe killed!
[4:51:33 PM] SearchIndexer.exe killed!
