[12:32:49 AM] Thursday, February 6, 2020
[12:32:49 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[12:32:49 AM] Process Kill Interval: 250ms
[12:32:49 AM] Loading Complete!
[12:32:49 AM] Hiding to tray...
[12:32:49 AM] ZeroConfigService.exe killed!
[12:32:49 AM] ctfmon.exe killed!
[12:32:49 AM] SystemSettings.exe killed!
[12:32:49 AM] LogiRegistryService.exe killed!
[12:32:49 AM] SettingSyncHost.exe killed!
[12:32:49 AM] WmiPrvSE.exe killed!
[12:32:49 AM] YourPhone.exe killed!
[12:32:49 AM] backgroundTaskHost.exe killed!
[12:32:49 AM] WmiPrvSE.exe killed!
[12:32:49 AM] KMS Server Service.exe killed!
[12:32:49 AM] SearchUI.exe killed!
[12:32:49 AM] backgroundTaskHost.exe killed!
[12:32:49 AM] Failed to end task: SettingSyncHost.exe
[12:32:49 AM] Failed to end task: SettingSyncHost.exe
[12:32:50 AM] Failed to end task: SettingSyncHost.exe
[12:32:50 AM] Failed to end task: SettingSyncHost.exe
[12:32:50 AM] Failed to end task: SettingSyncHost.exe
[12:32:50 AM] Failed to end task: SettingSyncHost.exe
[12:32:51 AM] Failed to end task: SettingSyncHost.exe
[12:32:51 AM] Failed to end task: SettingSyncHost.exe
[12:32:51 AM] WmiPrvSE.exe killed!
[12:32:51 AM] ctfmon.exe killed!
[12:32:52 AM] WmiPrvSE.exe killed!
[12:32:52 AM] SearchUI.exe killed!
[12:32:52 AM] WmiPrvSE.exe killed!
[12:32:52 AM] WmiPrvSE.exe killed!
[12:32:53 AM] WmiPrvSE.exe killed!
[12:32:54 AM] WmiPrvSE.exe killed!
[12:32:54 AM] WmiPrvSE.exe killed!
[12:32:54 AM] ctfmon.exe killed!
[12:32:54 AM] WmiPrvSE.exe killed!
[12:32:54 AM] WmiPrvSE.exe killed!
[12:32:55 AM] WmiPrvSE.exe killed!
[12:32:56 AM] SearchUI.exe killed!
[12:32:59 AM] ctfmon.exe killed!
[12:33:01 AM] SearchUI.exe killed!
[12:33:01 AM] Failed to end task: SearchUI.exe
[12:33:03 AM] SearchUI.exe killed!
[12:33:04 AM] ctfmon.exe killed!
[12:33:07 AM] SearchUI.exe killed!
[12:33:09 AM] ctfmon.exe killed!
[12:33:14 AM] ctfmon.exe killed!
[12:33:18 AM] backgroundTaskHost.exe killed!
[12:33:18 AM] Failed to end task: backgroundTaskHost.exe
[12:33:19 AM] ctfmon.exe killed!
[12:33:24 AM] ctfmon.exe killed!
[12:33:25 AM] WmiPrvSE.exe killed!
[12:33:25 AM] WmiPrvSE.exe killed!
[12:33:26 AM] WmiPrvSE.exe killed!
[12:33:26 AM] WmiPrvSE.exe killed!
[12:33:27 AM] WmiPrvSE.exe killed!
[12:33:27 AM] sppsvc.exe killed!
[12:33:28 AM] WmiPrvSE.exe killed!
[12:33:29 AM] WmiPrvSE.exe killed!
[12:33:29 AM] ctfmon.exe killed!
[12:33:30 AM] WmiPrvSE.exe killed!
[12:33:30 AM] WmiPrvSE.exe killed!
[12:33:31 AM] WmiPrvSE.exe killed!
[12:33:31 AM] WmiPrvSE.exe killed!
[12:33:34 AM] ctfmon.exe killed!
[12:33:39 AM] ctfmon.exe killed!
[12:33:44 AM] ctfmon.exe killed!
[12:33:49 AM] ctfmon.exe killed!
[12:33:54 AM] ctfmon.exe killed!
[12:33:59 AM] ctfmon.exe killed!
[12:34:02 AM] WmiPrvSE.exe killed!
[12:34:02 AM] WmiPrvSE.exe killed!
[12:34:02 AM] WmiPrvSE.exe killed!
[12:34:03 AM] WmiPrvSE.exe killed!
[12:34:03 AM] WmiPrvSE.exe killed!
[12:34:03 AM] WmiPrvSE.exe killed!
[12:34:04 AM] WmiPrvSE.exe killed!
[12:34:04 AM] ctfmon.exe killed!
[12:34:05 AM] WmiPrvSE.exe killed!
[12:34:05 AM] WmiPrvSE.exe killed!
