[8:48:36 AM] Wednesday, January 8, 2020
[8:48:36 AM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[8:48:36 AM] Process Kill Interval: 250ms
[8:48:36 AM] Loading Complete!
[8:48:36 AM] YourPhone.exe killed!
[8:48:36 AM] SettingSyncHost.exe killed!
[8:48:36 AM] backgroundTaskHost.exe killed!
[8:48:36 AM] WmiPrvSE.exe killed!
[8:48:36 AM] Microsoft.Photos.exe killed!
[8:48:36 AM] GameBar.exe killed!
[8:48:36 AM] SearchFilterHost.exe killed!
[8:48:36 AM] backgroundTaskHost.exe killed!
[8:48:36 AM] SearchUI.exe killed!
[8:48:36 AM] ZeroConfigService.exe killed!
[8:48:36 AM] SearchIndexer.exe killed!
[8:48:36 AM] LogiRegistryService.exe killed!
[8:48:36 AM] ctfmon.exe killed!
[8:48:36 AM] WmiPrvSE.exe killed!
[8:48:37 AM] Failed to end task: SearchUI.exe
[8:48:37 AM] ctfmon.exe killed!
[8:48:39 AM] SearchUI.exe killed!
[8:48:40 AM] WmiPrvSE.exe killed!
[8:48:42 AM] ctfmon.exe killed!
[8:48:43 AM] SearchUI.exe killed!
[8:48:44 AM] Log Hidden!
[8:48:45 AM] Log Revealed!
[8:48:46 AM] SearchIndexer.exe killed!
[8:48:47 AM] ctfmon.exe killed!
[8:48:47 AM] SearchUI.exe killed!
[8:48:47 AM] Failed to end task: SearchUI.exe
[8:48:48 AM] SearchIndexer.exe killed!
[8:48:50 AM] SearchUI.exe killed!
[8:48:52 AM] ctfmon.exe killed!
[8:48:53 AM] SearchIndexer.exe killed!
[8:48:57 AM] ctfmon.exe killed!
[8:48:58 AM] SearchIndexer.exe killed!
[8:48:59 AM] SearchIndexer.exe killed!
[8:48:59 AM] SearchIndexer.exe killed!
[8:48:59 AM] SearchIndexer.exe killed!
[8:48:59 AM] SearchIndexer.exe killed!
[8:49:00 AM] SearchIndexer.exe killed!
[8:49:00 AM] SearchIndexer.exe killed!
[8:49:00 AM] SearchIndexer.exe killed!
[8:49:00 AM] SearchIndexer.exe killed!
[8:49:01 AM] SearchIndexer.exe killed!
[8:49:01 AM] SearchIndexer.exe killed!
[8:49:01 AM] SearchIndexer.exe killed!
[8:49:01 AM] SearchIndexer.exe killed!
