[12:17:16 PM] Thursday, January 9, 2020
[12:17:16 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[12:17:16 PM] Process Kill Interval: 250ms
[12:17:16 PM] Loading Complete!
[12:17:16 PM] WmiPrvSE.exe killed!
[12:17:16 PM] SearchUI.exe killed!
[12:17:16 PM] SearchFilterHost.exe killed!
[12:17:16 PM] sppsvc.exe killed!
[12:17:16 PM] SettingSyncHost.exe killed!
[12:17:16 PM] ctfmon.exe killed!
[12:17:16 PM] Microsoft.Photos.exe killed!
[12:17:16 PM] SearchIndexer.exe killed!
[12:17:16 PM] SystemSettings.exe killed!
[12:17:16 PM] ctfmon.exe killed!
[12:17:16 PM] Failed to end task: Microsoft.Photos.exe
[12:17:18 PM] WmiPrvSE.exe killed!
[12:17:18 PM] WmiPrvSE.exe killed!
[12:17:18 PM] SearchUI.exe killed!
[12:17:21 PM] ctfmon.exe killed!
[12:17:22 PM] WmiPrvSE.exe killed!
[12:17:23 PM] SearchUI.exe killed!
[12:17:25 PM] SearchUI.exe killed!
[12:17:25 PM] WmiPrvSE.exe killed!
[12:17:26 PM] WmiPrvSE.exe killed!
[12:17:26 PM] ctfmon.exe killed!
[12:17:29 PM] SearchUI.exe killed!
[12:17:30 PM] WmiPrvSE.exe killed!
[12:17:31 PM] ctfmon.exe killed!
[12:17:31 PM] SearchUI.exe killed!
[12:17:34 PM] WmiPrvSE.exe killed!
[12:17:36 PM] ctfmon.exe killed!
[12:17:36 PM] SearchIndexer.exe killed!
[12:17:38 PM] WmiPrvSE.exe killed!
[12:17:41 PM] ctfmon.exe killed!
[12:17:42 PM] WmiPrvSE.exe killed!
[12:17:42 PM] WmiPrvSE.exe killed!
[12:17:44 PM] WmiPrvSE.exe killed!
[12:17:45 PM] WmiPrvSE.exe killed!
[12:17:46 PM] WmiPrvSE.exe killed!
[12:17:46 PM] ctfmon.exe killed!
[12:17:50 PM] WmiPrvSE.exe killed!
[12:17:51 PM] ctfmon.exe killed!
[12:17:54 PM] backgroundTaskHost.exe killed!
[12:17:54 PM] WmiPrvSE.exe killed!
[12:17:54 PM] WmiPrvSE.exe killed!
[12:17:54 PM] WmiPrvSE.exe killed!
[12:17:55 PM] WmiPrvSE.exe killed!
[12:17:56 PM] ctfmon.exe killed!
[12:17:58 PM] WmiPrvSE.exe killed!
[12:17:58 PM] WmiPrvSE.exe killed!
[12:17:59 PM] WmiPrvSE.exe killed!
[12:18:00 PM] sppsvc.exe killed!
[12:18:00 PM] WmiPrvSE.exe killed!
[12:18:01 PM] ctfmon.exe killed!
[12:18:01 PM] WmiPrvSE.exe killed!
[12:18:02 PM] WmiPrvSE.exe killed!
[12:18:02 PM] WmiPrvSE.exe killed!
[12:18:03 PM] WmiPrvSE.exe killed!
[12:18:04 PM] WmiPrvSE.exe killed!
[12:18:06 PM] ctfmon.exe killed!
[12:18:11 PM] ctfmon.exe killed!
[12:18:16 PM] ctfmon.exe killed!
[12:18:21 PM] ctfmon.exe killed!
[12:18:26 PM] ctfmon.exe killed!
[12:18:31 PM] ctfmon.exe killed!
[12:18:34 PM] WmiPrvSE.exe killed!
[12:18:34 PM] WmiPrvSE.exe killed!
[12:18:34 PM] WmiPrvSE.exe killed!
[12:18:34 PM] WmiPrvSE.exe killed!
[12:18:36 PM] WmiPrvSE.exe killed!
[12:18:36 PM] ctfmon.exe killed!
[12:18:42 PM] ctfmon.exe killed!
[12:18:42 PM] Failed to end task: ctfmon.exe
[12:18:47 PM] ctfmon.exe killed!
[12:18:52 PM] ctfmon.exe killed!
[12:18:57 PM] ctfmon.exe killed!
[12:19:02 PM] ctfmon.exe killed!
[12:19:06 PM] WmiPrvSE.exe killed!
[12:19:07 PM] ctfmon.exe killed!
[12:19:12 PM] ctfmon.exe killed!
[12:19:17 PM] ctfmon.exe killed!
[12:19:22 PM] ctfmon.exe killed!
[12:19:27 PM] ctfmon.exe killed!
[12:19:32 PM] ctfmon.exe killed!
[12:19:36 PM] WmiPrvSE.exe killed!
[12:19:36 PM] SearchIndexer.exe killed!
[12:19:37 PM] SearchIndexer.exe killed!
[12:19:37 PM] ctfmon.exe killed!
[12:19:37 PM] WmiPrvSE.exe killed!
