[7:16:13 PM] Monday, February 24, 2020
[7:16:13 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[7:16:13 PM] Process Kill Interval: 250ms
[7:16:13 PM] Loading Complete!
[7:16:13 PM] Hiding to tray...
[7:16:13 PM] ctfmon.exe killed!
[7:16:13 PM] sppsvc.exe killed!
[7:16:13 PM] WmiPrvSE.exe killed!
[7:16:13 PM] ctfmon.exe killed!
[7:16:14 PM] WmiPrvSE.exe killed!
[7:16:18 PM] WmiPrvSE.exe killed!
[7:16:18 PM] ctfmon.exe killed!
[7:16:19 PM] WmiPrvSE.exe killed!
[7:16:19 PM] WmiPrvSE.exe killed!
[7:16:20 PM] WmiPrvSE.exe killed!
[7:16:22 PM] WmiPrvSE.exe killed!
[7:16:23 PM] WmiPrvSE.exe killed!
[7:16:23 PM] ctfmon.exe killed!
[7:16:26 PM] WmiPrvSE.exe killed!
[7:16:28 PM] ctfmon.exe killed!
[7:16:30 PM] WmiPrvSE.exe killed!
[7:16:31 PM] WmiPrvSE.exe killed!
[7:16:32 PM] SearchIndexer.exe killed!
[7:16:33 PM] SearchIndexer.exe killed!
[7:16:33 PM] SearchIndexer.exe killed!
[7:16:33 PM] SearchIndexer.exe killed!
[7:16:33 PM] ctfmon.exe killed!
[7:16:33 PM] SearchIndexer.exe killed!
[7:16:34 PM] SearchIndexer.exe killed!
[7:16:38 PM] ctfmon.exe killed!
[7:16:43 PM] ctfmon.exe killed!
[7:16:48 PM] ctfmon.exe killed!
[7:16:53 PM] ctfmon.exe killed!
[7:16:58 PM] ctfmon.exe killed!
[7:17:02 PM] WmiPrvSE.exe killed!
[7:17:02 PM] WmiPrvSE.exe killed!
[7:17:02 PM] WmiPrvSE.exe killed!
[7:17:02 PM] WmiPrvSE.exe killed!
[7:17:03 PM] ctfmon.exe killed!
[7:17:05 PM] WmiPrvSE.exe killed!
[7:17:05 PM] WmiPrvSE.exe killed!
[7:17:08 PM] ctfmon.exe killed!
[7:17:13 PM] ctfmon.exe killed!
[7:17:18 PM] ctfmon.exe killed!
[7:17:23 PM] ctfmon.exe killed!
[7:17:28 PM] ctfmon.exe killed!
[7:17:33 PM] ctfmon.exe killed!
[7:17:36 PM] WmiPrvSE.exe killed!
[7:17:36 PM] WmiPrvSE.exe killed!
[7:17:36 PM] WmiPrvSE.exe killed!
[7:17:36 PM] WmiPrvSE.exe killed!
[7:17:37 PM] WmiPrvSE.exe killed!
[7:17:37 PM] WmiPrvSE.exe killed!
[7:17:37 PM] WmiPrvSE.exe killed!
[7:17:37 PM] WmiPrvSE.exe killed!
[7:17:38 PM] ctfmon.exe killed!
[7:17:40 PM] WmiPrvSE.exe killed!
[7:17:43 PM] ctfmon.exe killed!
[7:17:48 PM] ctfmon.exe killed!
[7:17:52 PM] SystemSettings.exe killed!
[7:17:53 PM] ctfmon.exe killed!
[7:17:58 PM] ctfmon.exe killed!
[7:18:03 PM] ctfmon.exe killed!
[7:18:08 PM] ctfmon.exe killed!
[7:18:10 PM] WmiPrvSE.exe killed!
[7:18:13 PM] sppsvc.exe killed!
[7:18:13 PM] ctfmon.exe killed!
[7:18:14 PM] WmiPrvSE.exe killed!
[7:18:18 PM] ctfmon.exe killed!
[7:18:23 PM] ctfmon.exe killed!
[7:18:28 PM] ctfmon.exe killed!
[7:18:33 PM] ctfmon.exe killed!
[7:18:34 PM] SearchIndexer.exe killed!
[7:18:34 PM] SearchIndexer.exe killed!
[7:18:34 PM] SearchIndexer.exe killed!
[7:18:35 PM] SearchIndexer.exe killed!
[7:18:35 PM] SearchIndexer.exe killed!
[7:18:35 PM] SearchIndexer.exe killed!
[7:18:35 PM] SearchIndexer.exe killed!
[7:18:36 PM] SearchIndexer.exe killed!
[7:18:36 PM] SearchIndexer.exe killed!
[7:18:36 PM] SearchIndexer.exe killed!
[7:18:36 PM] SearchIndexer.exe killed!
[7:18:37 PM] SearchIndexer.exe killed!
[7:18:37 PM] SearchIndexer.exe killed!
[7:18:37 PM] SearchIndexer.exe killed!
[7:18:37 PM] SearchIndexer.exe killed!
[7:18:38 PM] ctfmon.exe killed!
[7:18:43 PM] ctfmon.exe killed!
[7:18:44 PM] WmiPrvSE.exe killed!
[7:18:44 PM] WmiPrvSE.exe killed!
[7:18:44 PM] WmiPrvSE.exe killed!
[7:18:45 PM] WmiPrvSE.exe killed!
[7:18:45 PM] WmiPrvSE.exe killed!
[7:18:48 PM] WmiPrvSE.exe killed!
[7:18:48 PM] ctfmon.exe killed!
[7:18:52 PM] WmiPrvSE.exe killed!
[7:18:53 PM] ctfmon.exe killed!
[7:18:54 PM] WmiPrvSE.exe killed!
[7:18:58 PM] ctfmon.exe killed!
[7:19:00 PM] WmiPrvSE.exe killed!
[7:19:01 PM] sppsvc.exe killed!
[7:19:03 PM] ctfmon.exe killed!
[7:19:08 PM] ctfmon.exe killed!
[7:19:13 PM] ctfmon.exe killed!
[7:19:18 PM] ctfmon.exe killed!
[7:19:24 PM] ctfmon.exe killed!
[7:19:29 PM] ctfmon.exe killed!
[7:19:34 PM] ctfmon.exe killed!
[7:19:34 PM] WmiPrvSE.exe killed!
[7:19:39 PM] ctfmon.exe killed!
