[5:47:06 PM] Monday, January 20, 2020
[5:47:06 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[5:47:06 PM] Process Kill Interval: 250ms
[5:47:06 PM] Loading Complete!
[5:47:06 PM] Hiding to tray...
[5:47:06 PM] YourPhone.exe killed!
[5:47:06 PM] LogiRegistryService.exe killed!
[5:47:06 PM] ctfmon.exe killed!
[5:47:06 PM] ZeroConfigService.exe killed!
[5:47:06 PM] SystemSettings.exe killed!
[5:47:06 PM] SearchFilterHost.exe killed!
[5:47:06 PM] SearchIndexer.exe killed!
[5:47:06 PM] SettingSyncHost.exe killed!
[5:47:06 PM] WmiPrvSE.exe killed!
[5:47:06 PM] WmiPrvSE.exe killed!
[5:47:06 PM] sppsvc.exe killed!
[5:47:06 PM] Failed to end task: YourPhone.exe
[5:47:06 PM] WmiPrvSE.exe killed!
[5:47:06 PM] ctfmon.exe killed!
[5:47:07 PM] WmiPrvSE.exe killed!
[5:47:08 PM] WmiPrvSE.exe killed!
[5:47:08 PM] WmiPrvSE.exe killed!
[5:47:11 PM] WmiPrvSE.exe killed!
[5:47:11 PM] ctfmon.exe killed!
[5:47:11 PM] WmiPrvSE.exe killed!
[5:47:12 PM] WmiPrvSE.exe killed!
[5:47:16 PM] ctfmon.exe killed!
[5:47:21 PM] ctfmon.exe killed!
[5:47:26 PM] ctfmon.exe killed!
[5:47:31 PM] ctfmon.exe killed!
[5:47:36 PM] SearchIndexer.exe killed!
[5:47:36 PM] ctfmon.exe killed!
[5:47:41 PM] ctfmon.exe killed!
[5:47:42 PM] WmiPrvSE.exe killed!
[5:47:43 PM] WmiPrvSE.exe killed!
[5:47:43 PM] WmiPrvSE.exe killed!
[5:47:46 PM] WmiPrvSE.exe killed!
[5:47:46 PM] WmiPrvSE.exe killed!
[5:47:46 PM] ctfmon.exe killed!
[5:47:46 PM] WmiPrvSE.exe killed!
[5:47:47 PM] WmiPrvSE.exe killed!
[5:47:47 PM] WmiPrvSE.exe killed!
[5:47:47 PM] WmiPrvSE.exe killed!
[5:47:47 PM] WmiPrvSE.exe killed!
[5:47:48 PM] WmiPrvSE.exe killed!
[5:47:50 PM] SearchIndexer.exe killed!
[5:47:50 PM] WmiPrvSE.exe killed!
[5:47:51 PM] ctfmon.exe killed!
[5:47:56 PM] ctfmon.exe killed!
[5:48:01 PM] ctfmon.exe killed!
[5:48:04 PM] SearchIndexer.exe killed!
[5:48:06 PM] SearchIndexer.exe killed!
[5:48:06 PM] ctfmon.exe killed!
[5:48:11 PM] ctfmon.exe killed!
[5:48:16 PM] ctfmon.exe killed!
[5:48:20 PM] SearchIndexer.exe killed!
[5:48:20 PM] WmiPrvSE.exe killed!
[5:48:21 PM] ctfmon.exe killed!
[5:48:26 PM] ctfmon.exe killed!
[5:48:31 PM] ctfmon.exe killed!
[5:48:34 PM] SearchIndexer.exe killed!
[5:48:36 PM] ctfmon.exe killed!
[5:48:41 PM] ctfmon.exe killed!
[5:48:46 PM] ctfmon.exe killed!
[5:48:50 PM] SearchIndexer.exe killed!
[5:48:50 PM] WmiPrvSE.exe killed!
[5:48:51 PM] WmiPrvSE.exe killed!
[5:48:51 PM] ctfmon.exe killed!
[5:48:52 PM] WmiPrvSE.exe killed!
[5:48:54 PM] WmiPrvSE.exe killed!
[5:48:56 PM] ctfmon.exe killed!
[5:49:00 PM] WmiPrvSE.exe killed!
[5:49:01 PM] ctfmon.exe killed!
[5:49:06 PM] sppsvc.exe killed!
[5:49:06 PM] SearchIndexer.exe killed!
[5:49:06 PM] ctfmon.exe killed!
[5:49:11 PM] ctfmon.exe killed!
[5:49:16 PM] ctfmon.exe killed!
[5:49:21 PM] ctfmon.exe killed!
[5:49:26 PM] ctfmon.exe killed!
[5:49:30 PM] SearchIndexer.exe killed!
[5:49:30 PM] WmiPrvSE.exe killed!
[5:49:31 PM] WmiPrvSE.exe killed!
[5:49:31 PM] WmiPrvSE.exe killed!
[5:49:31 PM] WmiPrvSE.exe killed!
[5:49:31 PM] ctfmon.exe killed!
[5:49:31 PM] WmiPrvSE.exe killed!
[5:49:35 PM] SearchIndexer.exe killed!
[5:49:35 PM] WmiPrvSE.exe killed!
[5:49:36 PM] ctfmon.exe killed!
[5:49:38 PM] WmiPrvSE.exe killed!
[5:49:39 PM] WmiPrvSE.exe killed!
[5:49:40 PM] WmiPrvSE.exe killed!
[5:49:41 PM] ctfmon.exe killed!
[5:49:42 PM] WmiPrvSE.exe killed!
[5:49:43 PM] WmiPrvSE.exe killed!
[5:49:46 PM] ctfmon.exe killed!
[5:49:47 PM] WmiPrvSE.exe killed!
[5:49:51 PM] ctfmon.exe killed!
[5:49:51 PM] WmiPrvSE.exe killed!
