[6:13:19 PM] Wednesday, February 19, 2020
[6:13:19 PM] Logging to C:\Users\Makeshift\source\repos\Software Protection Protection\Software Protection Protection\bin\Debug\Logs\
[6:13:19 PM] Process Kill Interval: 250ms
[6:13:19 PM] Loading Complete!
[6:13:19 PM] SearchIndexer.exe killed!
[6:13:19 PM] sppsvc.exe killed!
[6:13:19 PM] ctfmon.exe killed!
[6:13:19 PM] SettingSyncHost.exe killed!
[6:13:19 PM] SearchUI.exe killed!
[6:13:19 PM] YourPhone.exe killed!
[6:13:19 PM] WmiPrvSE.exe killed!
[6:13:19 PM] Microsoft.Photos.exe killed!
[6:13:19 PM] Hiding to tray...
[6:13:19 PM] ctfmon.exe killed!
[6:13:19 PM] Failed to end task: SearchUI.exe
[6:13:19 PM] Failed to end task: SearchUI.exe
[6:13:20 PM] Failed to end task: Microsoft.Photos.exe
[6:13:20 PM] WmiPrvSE.exe killed!
[6:13:21 PM] SearchUI.exe killed!
[6:13:22 PM] Failed to end task: SearchUI.exe
[6:13:24 PM] ctfmon.exe killed!
[6:13:26 PM] SearchUI.exe killed!
[6:13:28 PM] SearchUI.exe killed!
[6:13:29 PM] ctfmon.exe killed!
[6:13:30 PM] SearchUI.exe killed!
[6:13:32 PM] SearchIndexer.exe killed!
[6:13:33 PM] SearchUI.exe killed!
[6:13:34 PM] ctfmon.exe killed!
[6:13:39 PM] ctfmon.exe killed!
[6:13:44 PM] ctfmon.exe killed!
[6:13:49 PM] ctfmon.exe killed!
[6:13:49 PM] SearchIndexer.exe killed!
[6:13:50 PM] WmiPrvSE.exe killed!
[6:13:54 PM] ctfmon.exe killed!
[6:13:59 PM] ctfmon.exe killed!
[6:14:03 PM] SearchIndexer.exe killed!
[6:14:04 PM] ctfmon.exe killed!
[6:14:09 PM] ctfmon.exe killed!
[6:14:14 PM] ctfmon.exe killed!
[6:14:19 PM] ctfmon.exe killed!
[6:14:21 PM] WmiPrvSE.exe killed!
[6:14:21 PM] WmiPrvSE.exe killed!
[6:14:21 PM] WmiPrvSE.exe killed!
[6:14:24 PM] ctfmon.exe killed!
[6:14:29 PM] ctfmon.exe killed!
[6:14:33 PM] SearchIndexer.exe killed!
[6:14:33 PM] sppsvc.exe killed!
[6:14:34 PM] ctfmon.exe killed!
[6:14:39 PM] ctfmon.exe killed!
[6:14:44 PM] ctfmon.exe killed!
[6:14:46 PM] WmiPrvSE.exe killed!
[6:14:46 PM] WmiPrvSE.exe killed!
[6:14:49 PM] ctfmon.exe killed!
[6:14:50 PM] backgroundTaskHost.exe killed!
[6:14:54 PM] ctfmon.exe killed!
[6:14:59 PM] ctfmon.exe killed!
[6:15:03 PM] SearchIndexer.exe killed!
[6:15:04 PM] ctfmon.exe killed!
[6:15:09 PM] ctfmon.exe killed!
[6:15:14 PM] ctfmon.exe killed!
[6:15:16 PM] WmiPrvSE.exe killed!
[6:15:17 PM] WmiPrvSE.exe killed!
[6:15:17 PM] WmiPrvSE.exe killed!
[6:15:17 PM] WmiPrvSE.exe killed!
[6:15:18 PM] WmiPrvSE.exe killed!
[6:15:19 PM] ctfmon.exe killed!
[6:15:24 PM] ctfmon.exe killed!
[6:15:29 PM] ctfmon.exe killed!
[6:15:33 PM] SearchIndexer.exe killed!
[6:15:34 PM] ctfmon.exe killed!
[6:15:40 PM] ctfmon.exe killed!
[6:15:45 PM] ctfmon.exe killed!
[6:15:48 PM] WmiPrvSE.exe killed!
[6:15:49 PM] WmiPrvSE.exe killed!
[6:15:49 PM] WmiPrvSE.exe killed!
[6:15:50 PM] ctfmon.exe killed!
[6:15:52 PM] WmiPrvSE.exe killed!
[6:15:52 PM] WmiPrvSE.exe killed!
[6:15:53 PM] WmiPrvSE.exe killed!
[6:15:55 PM] ctfmon.exe killed!
[6:15:56 PM] WmiPrvSE.exe killed!
[6:16:00 PM] ctfmon.exe killed!
[6:16:00 PM] WmiPrvSE.exe killed!
[6:16:00 PM] WmiPrvSE.exe killed!
[6:16:04 PM] WmiPrvSE.exe killed!
[6:16:05 PM] ctfmon.exe killed!
[6:16:05 PM] WmiPrvSE.exe killed!
[6:16:08 PM] WmiPrvSE.exe killed!
[6:16:10 PM] ctfmon.exe killed!
[6:16:15 PM] ctfmon.exe killed!
[6:16:20 PM] ctfmon.exe killed!
[6:16:25 PM] ctfmon.exe killed!
[6:16:30 PM] ctfmon.exe killed!
[6:16:35 PM] ctfmon.exe killed!
[6:16:38 PM] WmiPrvSE.exe killed!
[6:16:38 PM] WmiPrvSE.exe killed!
[6:16:39 PM] WmiPrvSE.exe killed!
[6:16:40 PM] ctfmon.exe killed!
[6:16:45 PM] ctfmon.exe killed!
[6:16:50 PM] ctfmon.exe killed!
[6:16:55 PM] ctfmon.exe killed!
[6:17:00 PM] ctfmon.exe killed!
[6:17:00 PM] WmiPrvSE.exe killed!
[6:17:01 PM] sppsvc.exe killed!
[6:17:05 PM] ctfmon.exe killed!
[6:17:10 PM] ctfmon.exe killed!
[6:17:15 PM] ctfmon.exe killed!
[6:17:16 PM] WmiPrvSE.exe killed!
[6:17:20 PM] ctfmon.exe killed!
[6:17:25 PM] ctfmon.exe killed!
[6:17:30 PM] ctfmon.exe killed!
[6:17:35 PM] ctfmon.exe killed!
[6:17:40 PM] ctfmon.exe killed!
[6:17:45 PM] ctfmon.exe killed!
[6:17:46 PM] WmiPrvSE.exe killed!
[6:17:46 PM] WmiPrvSE.exe killed!
[6:17:50 PM] ctfmon.exe killed!
[6:17:55 PM] ctfmon.exe killed!
[6:18:00 PM] ctfmon.exe killed!
[6:18:05 PM] ctfmon.exe killed!
[6:18:10 PM] ctfmon.exe killed!
[6:18:15 PM] ctfmon.exe killed!
[6:18:17 PM] WmiPrvSE.exe killed!
[6:18:17 PM] WmiPrvSE.exe killed!
[6:18:17 PM] WmiPrvSE.exe killed!
